1774263241.6594632; h; keydown
1774263241.7267306; h; keyup
1774263241.9206724; l; keydown
1774263242.0022864; l; keyup
1774263242.5447547; Key.backspace; keydown
1774263242.6622624; Key.backspace; keyup
1774263242.9565077; Key.alt_r; keydown
1774263243.074556; l; keydown
1774263243.162343; Key.alt_r; keyup
1774263243.214296; l; keyup
1774263243.3367853; o; keydown
1774263243.4163115; o; keyup
1774263244.342685; Key.alt_r; keydown
1774263244.5726829; n; keydown
1774263244.6110258; Key.alt_r; keyup
1774263244.6502934; n; keyup
1774263245.136484; Key.space; keydown
1774263245.2062328; Key.space; keyup
1774263245.429669; d; keydown
1774263245.5148275; d; keyup
1774263245.6788316; Key.alt_r; keydown
1774263245.782927; x; keydown
1774263245.8485034; x; keyup
1774263245.852207; Key.alt_r; keyup
1774263246.06486; w; keydown
1774263246.13836; w; keyup
1774263246.1667416; i; keydown
1774263246.246477; i; keyup
1774263246.3610947; Key.alt_r; keydown
1774263246.4386394; e; keydown
1774263246.5107312; e; keyup
1774263246.5226204; Key.alt_r; keyup
1774263246.7567663; k; keydown
1774263246.8523824; k; keyup
1774263246.8544204; Key.space; keydown
1774263246.908355; Key.space; keyup
1774263247.3008623; i; keydown
1774263247.3685591; Key.space; keydown
1774263247.386459; i; keyup
1774263247.4364872; Key.space; keyup
1774263248.044975; g; keydown
1774263248.1203988; g; keyup
1774263248.4785478; r; keydown
1774263248.546353; r; keyup
1774263248.6745725; a; keydown
1774263248.7543337; a; keyup
1774263248.9145675; f; keydown
1774263248.9767544; f; keyup
1774263248.9927447; i; keydown
1774263249.0690634; i; keyup
1774263249.162786; c; keydown
1774263249.2524443; c; keyup
1774263249.3885832; z; keydown
1774263249.4961665; z; keyup
1774263249.7006042; n; keydown
1774263249.7368996; i; keydown
1774263249.7986925; n; keyup
1774263249.8208487; e; keydown
1774263249.8508883; i; keyup
1774263249.8864686; e; keyup
1774263250.4227784; Key.space; keydown
1774263250.4888074; Key.space; keyup
1774263250.71098; z; keydown
1774263250.818395; z; keyup
1774263250.9786296; a; keydown
1774263251.0604258; a; keyup
1774263251.2725873; Key.alt_r; keydown
1774263251.4106827; l; keydown
1774263251.5563617; l; keyup
1774263251.5685034; Key.alt_r; keyup
1774263252.3406067; =; keydown
1774263252.4643197; =; keyup
1774263252.6485896; z; keydown
1774263252.6964548; z; keyup
1774263252.824719; Key.backspace; keydown
1774263252.9004428; Key.backspace; keyup
1774263252.9746838; Key.backspace; keydown
1774263253.0263348; Key.backspace; keyup
1774263253.0906703; Key.backspace; keydown
1774263253.1643984; Key.backspace; keyup
1774263253.462971; Key.alt_r; keydown
1774263253.6987514; z; keydown
1774263253.7908063; z; keyup
1774263253.8490193; Key.alt_r; keyup
1774263253.954763; Key.alt_r; keydown
1774263254.360767; o; keydown
1774263254.4747837; o; keyup
1774263254.58272; Key.alt_r; keyup
1774263254.706777; Key.alt_r; keydown
1774263254.9586823; l; keydown
1774263255.0789924; l; keyup
1774263255.1165786; Key.alt_r; keyup
1774263255.486746; Key.alt_r; keydown
1774263255.6307077; c; keydown
1774263255.6985035; c; keyup
1774263255.7162428; Key.alt_r; keyup
1774263255.947123; Key.space; keydown
1774263256.028959; Key.space; keyup
1774263256.5493312; f; keydown
1774263256.6307738; f; keyup
1774263256.7507658; u; keydown
1774263256.822949; u; keyup
1774263256.8606184; z; keydown
1774263256.9403987; z; keyup
1774263257.038884; j; keydown
1774263257.1224756; j; keyup
1774263257.3408535; Key.alt_r; keydown
1774263257.4528894; e; keydown
1774263257.5246701; e; keyup
1774263257.5545237; Key.alt_r; keyup
1774263257.8193066; Key.space; keydown
1774263257.9025; Key.space; keyup
1774263258.4766572; p; keydown
1774263258.5687675; p; keyup
1774263258.5948236; r; keydown
1774263258.6690438; r; keyup
1774263258.688795; o; keydown
1774263258.7684371; o; keyup
1774263258.91281; j; keydown
1774263258.9666145; e; keydown
1774263258.9743261; j; keyup
1774263259.034791; e; keyup
1774263259.0927124; k; keydown
1774263259.1585014; k; keyup
1774263259.2451317; t; keydown
1774263259.3366368; t; keyup
1774263259.4207973; Key.alt_r; keydown
1774263259.4785602; Key.alt_r; keyup
1774263259.5988388; Key.alt_r; keydown
1774263259.6651988; o; keydown
