1774266324.761693; Key.space; keydown
1774266324.8252335; Key.space; keyup
1774266324.909576; b; keydown
1774266324.9673219; b; keyup
1774266325.1117318; Key.alt_r; keydown
1774266325.1955533; l; keydown
1774266325.3008375; l; keyup
1774266325.3912432; a; keydown
1774266325.4834027; a; keyup
1774266325.5992587; Key.alt_r; keyup
1774266325.823679; d; keydown
1774266325.8968108; d; keyup
1774266326.2391841; Key.space; keydown
1774266326.2891307; Key.space; keyup
1774266326.7917275; Key.backspace; keydown
1774266326.8494384; Key.backspace; keyup
1774266327.0756102; ,; keydown
1774266327.141075; ,; keyup
1774266327.2697139; Key.space; keydown
1774266327.3351393; Key.space; keyup
1774266327.37722; c; keydown
1774266327.4426732; c; keyup
1774266327.545746; h; keydown
1774266327.6214433; h; keyup
1774266327.7997375; Key.alt_r; keydown
1774266327.9036844; l; keydown
1774266327.9467032; Key.alt_r; keyup
1774266327.9807165; l; keyup
1774266328.0772681; o; keydown
1774266328.1547763; o; keyup
1774266328.255722; Key.alt_r; keydown
1774266328.8075705; n; keydown
1774266328.854985; n; keyup
1774266328.8563368; Key.alt_r; keyup
1774266328.9851208; Key.space; keydown
1774266329.0469863; Key.space; keyup
1774266329.1473186; s; keydown
1774266329.215146; s; keyup
1774266329.4669695; Key.backspace; keydown
1774266329.5451856; Key.backspace; keyup
1774266329.5895205; d; keydown
1774266329.6592095; d; keyup
1774266329.753476; z; keydown
1774266329.8331556; z; keyup
1774266330.4113111; Key.backspace; keydown
1774266330.5228443; Key.backspace; keyup
1774266330.809434; Key.alt_r; keydown
1774266330.9495907; x; keydown
1774266331.0191689; x; keyup
1774266331.1211503; Key.alt_r; keyup
1774266331.2457702; w; keydown
1774266331.326611; w; keyup
1774266331.4388645; i; keydown
1774266331.515059; i; keyup
1774266331.6055164; e; keydown
1774266331.6631103; e; keyup
1774266331.957442; Key.backspace; keydown
1774266332.0350006; Key.backspace; keyup
1774266332.2788162; Key.alt_r; keydown
1774266332.4026434; e; keydown
1774266332.4488807; e; keyup
1774266332.4625735; Key.alt_r; keyup
1774266332.61286; k; keydown
1774266332.6725261; k; keyup
1774266332.8333566; Key.space; keydown
1774266332.8967025; Key.space; keyup
1774266333.68347; i; keydown
1774266333.7384694; i; keyup
1774266334.0426123; Key.space; keydown
1774266334.1143084; Key.space; keyup
1774266334.1545537; g; keydown
1774266334.2064161; g; keyup
1774266334.3007076; r; keydown
1774266334.3948705; r; keyup
1774266334.4553304; a; keydown
1774266334.5484593; a; keyup
1774266334.6768181; f; keydown
1774266334.746922; f; keyup
1774266334.8392587; i; keydown
1774266334.902962; i; keyup
1774266334.9972832; c; keydown
1774266335.0829513; c; keyup
1774266335.1632044; z; keydown
1774266335.2424982; z; keyup
1774266335.2545946; n; keydown
1774266335.328573; n; keyup
1774266335.3546512; i; keydown
1774266335.436394; i; keyup
1774266335.4565632; e; keydown
1774266335.5163953; e; keyup
1774266335.582817; Key.space; keydown
1774266335.6629596; Key.space; keyup
1774266335.9396474; z; keydown
1774266336.0745146; z; keyup
1774266336.150825; a; keydown
1774266336.2609844; a; keyup
1774266336.2624216; Key.alt_r; keydown
1774266336.38527; l; keydown
1774266336.4909592; l; keyup
1774266336.7212226; o; keydown
1774266336.8189776; o; keyup
1774266338.2851505; c; keydown
1774266338.3365455; c; keyup
1774266338.3763216; Key.alt_r; keyup
1774266338.5471566; Key.space; keydown
1774266338.5983179; Key.space; keyup
1774266339.7969637; f; keydown
1774266339.9008117; f; keyup
1774266340.002677; u; keydown
1774266340.070833; u; keyup
1774266340.1806436; z; keydown
1774266340.2705405; z; keyup
1774266340.3686569; j; keydown
1774266340.430271; j; keyup
1774266340.6351135; Key.alt_r; keydown
1774266340.7471032; e; keydown
1774266340.8147109; e; keyup
1774266340.824322; Key.alt_r; keyup
1774266340.9910822; Key.space; keydown
1774266341.0442827; Key.space; keyup
1774266341.2410686; p; keydown
1774266341.3122892; p; keyup
1774266341.353139; r; keydown
1774266341.4206777; r; keyup
1774266342.5643861; o; keydown
1774266342.628666; o; keyup
1774266342.804581; j; keydown
1774266342.8665848; j; keyup
1774266342.9048896; e; keydown
1774266342.9625778; e; keyup
1774266343.025028; k; keydown
1774266343.1003036; k; keyup
1774266343.192507; t; keydown
1774266343.2542028; t; keyup
1774266343.3104877; Key.alt_r; keydown
1774266343.4187744; o; keydown
1774266343.462573; Key.alt_r; keyup
1774266343.4728072; w; keydown
1774266343.504221; o; keyup
1774266343.5505168; w; keyup
1774266343.9409416; .; keydown
1774266343.9923859; .; keyup
1774266344.328898; Key.enter; keydown
1774266344.390243; Key.enter; keyup
