1774266381.921497; e; keydown
1774266381.977153; e; keyup
1774266382.1096213; Key.alt_r; keydown
1774266382.2315052; c; keydown
1774266382.2936592; Key.alt_r; keyup
1774266382.3086498; c; keyup
1774266382.4269814; Key.space; keydown
1774266382.4825666; Key.space; keyup
1774266382.754946; Key.backspace; keydown
1774266382.8305519; Key.backspace; keyup
1774266383.045118; ,; keydown
1774266383.1151614; ,; keyup
1774266383.2554882; Key.space; keydown
1774266383.3113563; Key.space; keyup
1774266383.4473379; p; keydown
1774266383.5226378; p; keyup
1774266383.524603; r; keydown
1774266383.601041; r; keyup
1774266383.7057693; z; keydown
1774266383.7951043; z; keyup
1774266383.8255079; e; keydown
1774266383.9246507; e; keyup
1774266383.9434354; m; keydown
1774266384.0331054; m; keyup
1774266384.183394; y; keydown
1774266384.2530901; y; keyup
1774266384.4449732; Key.alt_r; keydown
1774266384.541436; s; keydown
1774266384.62458; s; keyup
1774266384.6370552; Key.alt_r; keyup
1774266384.8097854; l; keydown
1774266384.899025; l; keyup
1774266385.0933156; Key.space; keydown
1774266385.146879; Key.space; keyup
1774266385.4713707; b; keydown
1774266385.5368235; b; keyup
1774266385.5991685; Key.alt_r; keydown
1774266385.7091575; l; keydown
1774266385.8125277; l; keyup
1774266385.854766; a; keydown
1774266385.9223015; Key.alt_r; keyup
1774266385.9582634; a; keyup
1774266386.1325924; d; keydown
1774266386.1945736; d; keyup
1774266386.3374188; Key.space; keydown
1774266386.3868206; Key.space; keyup
1774266386.795339; Key.backspace; keydown
1774266386.8665931; Key.backspace; keyup
1774266387.0987954; ,; keydown
1774266387.1408076; ,; keyup
1774266387.2893028; Key.space; keydown
1774266387.3529909; Key.space; keyup
1774266387.5127516; c; keydown
1774266387.6043124; c; keyup
1774266387.742601; h; keydown
1774266387.820325; h; keyup
1774266388.0207329; Key.alt_r; keydown
1774266388.1365032; l; keydown
1774266388.196796; Key.alt_r; keyup
1774266388.2328753; l; keyup
1774266388.3268504; o; keydown
1774266388.3910122; o; keyup
1774266388.5512261; Key.alt_r; keydown
1774266389.3112097; n; keydown
1774266389.358664; n; keyup
1774266389.4051573; Key.alt_r; keyup
1774266389.536681; Key.space; keydown
1774266389.59866; Key.space; keyup
1774266389.9986522; d; keydown
1774266390.0945525; d; keyup
1774266390.1712565; z; keydown
1774266390.2669678; z; keyup
1774266390.3591783; i; keydown
1774266390.4127028; i; keyup
1774266391.0471773; Key.backspace; keydown
1774266391.1425257; Key.backspace; keyup
1774266391.2387817; Key.backspace; keydown
1774266391.3384867; Key.backspace; keyup
1774266391.5686922; Key.alt_r; keydown
1774266391.6892636; x; keydown
1774266391.7608469; x; keyup
1774266391.7868712; Key.alt_r; keyup
1774266391.94119; w; keydown
1774266392.0464396; w; keyup
1774266392.1552618; i; keydown
1774266392.2203197; i; keyup
1774266392.2551334; e; keydown
1774266392.3283641; e; keyup
1774266392.8616107; Key.alt_r; keydown
1774266393.2202523; Key.alt_r; keyup
1774266394.6968527; k; keydown
1774266394.752393; k; keyup
1774266394.928759; Key.space; keydown
1774266394.99278; Key.space; keyup
1774266395.1070638; i; keydown
